location,High_Infection_rate,population,Population_infected_percentage
Cyprus,660854,896007,73.75545057
San Marino,24695,33690,73.3006827
Brunei,311614,449002,69.4014726
Austria,6081287,8939617,68.02625884
South Korea,34571873,51815808,66.72070616
Faeroe Islands,34658,53117,65.24841388
Slovenia,1345384,2119843,63.46620953
Gibraltar,20550,32677,62.88827004
Martinique,230354,367512,62.67931387
Andorra,48015,79843,60.13676841
Jersey,66391,110796,59.92183833
Luxembourg,384378,647601,59.35413935
Saint Pierre and Miquelon,3426,5885,58.21580289
Denmark,3417017,5882259,58.0902167
France,38997490,67813000,57.50739534
Iceland,209142,372903,56.08482635
Guernsey,35326,63329,55.78171138
Portugal,5621015,10270857,54.72780898
Liechtenstein,21491,39355,54.60805489
Latvia,976316,1850654,52.75518817
Greece,5405742,10384972,52.05350578
Guadeloupe,203235,395762,51.35283327
Israel,4839889,9449000,51.22117684
Falkland Islands,1923,3801,50.59194949
Switzerland,4413452,8740471,50.49444132
Saint Barthelemy,5507,10994,50.0909587
Georgia,1855289,3744385,49.54856405
Netherlands,8618815,17564020,49.07085622
Lithuania,1330386,2750058,48.37665242
Seychelles,50937,107135,47.54468661
Bahrain,696614,1472237,47.31670241
Monaco,17027,36491,46.66082048
Singapore,2610108,5637022,46.30295926
Germany,38437756,83369840,46.10510947
New Zealand,2387858,5185289,46.05062514
Cayman Islands,31472,68722,45.79610605
Niue,887,1952,45.44057377
Estonia,602187,1326064,45.41160909
Isle of Man,38008,84534,44.96179052
Australia,11613411,26177410,44.36424765
Czechia,4652429,10493990,44.33422368
Italy,26082645,59037472,44.17981346
Bonaire Sint Eustatius and Saba,11922,27052,44.07067869
Nauru,5393,12691,42.49468127
Cook Islands,7158,17032,42.02677313
Aruba,44224,106459,41.54087489
Belgium,4817196,11655923,41.32831008
Saint Helena,2166,5401,40.1036845
Montenegro,251280,627082,40.07131444
Barbados,110059,281646,39.07706838
Marshall Islands,16138,41593,38.79979804
Saint Martin (French part),12324,31816,38.73522756
Puerto Rico,1252713,3252412,38.51643027
Serbia,2556026,6871547,37.19724248
United Kingdom,24743787,67508936,36.65260996
Maldives,186694,523798,35.64236595
Palau,6241,18084,34.5111701
Ireland,1721152,5023108,34.26468234
Slovakia,1867647,5643455,33.09403548
French Guiana,98041,304568,32.19018413
Montserrat,1403,4413,31.79243145
Croatia,1275559,4030361,31.64875305
Wallis and Futuna,3550,11596,30.61400483
United States,103436829,338289856,30.57639098
Uruguay,1039238,3422796,30.36225355
Guam,52032,171783,30.28937671
Mongolia,1011170,3398373,29.75453254
Spain,13980340,47558632,29.39600954
Bermuda,18860,64207,29.3737443
Northern Mariana Islands,14299,49574,28.84374874
New Caledonia,80064,289959,27.61217965
Norway,1489459,5434324,27.40835843
Japan,33803572,123951696,27.27156876
Chile,5288837,19603736,26.97871977
Finland,1486084,5540745,26.82101414
Tuvalu,2943,11335,25.96382885
Sweden,2717141,10549349,25.75648033
French Polynesia,78632,306292,25.67223434
United States Virgin Islands,25389,99479,25.52196946
Sint Maarten (Dutch part),11051,44192,25.00678856
Anguilla,3904,15877,24.58902815
Curacao,45883,191173,24.00077417
Costa Rica,1238884,5180836,23.91282025
Mauritius,309869,1299478,23.84565187
Panama,1047555,4408582,23.76172202
British Virgin Islands,7305,31332,23.31482191
Micronesia (country),26547,114178,23.25053863
Lebanon,1239904,5489744,22.5858255
Malta,120422,533293,22.58083268
Hungary,2206311,9967304,22.13548418
Argentina,10054576,45510324,22.09295631
Dominica,15760,72758,21.66084829
Greenland,11971,56494,21.18986087
Turkey,17004677,85341248,19.92550777
Bulgaria,1302188,6781955,19.20077618
Qatar,514524,2695131,19.09087165
Moldova,623684,3272993,19.05546391
American Samoa,8359,44295,18.87120442
Romania,3455207,19659270,17.57545931
Belize,71060,405285,17.53334074
Brazil,37721749,215313504,17.5194534
Saint Lucia,30145,179872,16.75913983
North Macedonia,349104,2093606,16.67477071
Poland,6523692,39857144,16.36768555
Armenia,449650,2780472,16.17171473
Russia,23045833,144713312,15.92516451
Tonga,16827,106867,15.74574003
Grenada,19693,125459,15.69676149
Kuwait,666391,4268886,15.61041921
Jordan,1746997,11285875,15.47949982
Kosovo,274020,1782115,15.37611209
Malaysia,5129131,33938216,15.11314266
Turks and Caicos Islands,6630,45726,14.49940953
Ukraine,5520483,39701744,13.90488791
Saint Kitts and Nevis,6607,47681,13.85667247
Palestine,703228,5250076,13.39462514
Suriname,82588,618046,13.36275941
Peru,4520727,34049588,13.27689193
Mayotte,42027,326113,12.88725074
Botswana,330284,2630300,12.55689465
Trinidad and Tobago,191496,1531043,12.50755204
Bosnia and Herzegovina,403183,3233530,12.46881891
Colombia,6381770,51874028,12.30243774
Canada,4716205,38454328,12.26443224
Vietnam,11623845,98186856,11.83849394
Albania,334090,2842318,11.7541387
United Arab Emirates,1067030,9441138,11.30192144
Cape Verde,64401,593162,10.8572363
Paraguay,735874,6780745,10.85240634
Belarus,994037,9534956,10.42518707
Cuba,1115103,11212198,9.94544513
Bolivia,1209081,12224114,9.89094997
Antigua and Barbuda,9106,93772,9.710787868
Tunisia,1153361,12356116,9.334332892
Bahamas,38084,409989,9.289029706
Saint Vincent and the Grenadines,9644,103959,9.276734097
Guyana,73388,808727,9.074508456
Oman,399449,4576300,8.728645412
Iran,7618727,88550568,8.603814941
Pitcairn,4,47,8.510638298
Azerbaijan,833189,10358078,8.043857171
Bhutan,62697,782457,8.012836488
Kazakhstan,1502857,19397998,7.747485076
Samoa,16778,222390,7.544403975
Libya,507269,6812344,7.446320973
Fiji,69047,929769,7.426253188
Guatemala,1271070,17843914,7.123269032
China,99315126,1425887360,6.965145269
South Africa,4072533,59893884,6.799580738
Namibia,171998,2567024,6.70028796
Thailand,4757604,71697024,6.635706386
Eswatini,75000,1201680,6.241262233
Mexico,7692369,127504120,6.033035638
Dominican Republic,667073,11228821,5.940721648
Ecuador,1069139,18001002,5.939330488
Iraq,2465545,44496124,5.541033192
Jamaica,156386,2827382,5.531123845
Honduras,474587,10432858,4.548964435
Tokelau,80,1893,4.226096144
Kiribati,5085,131237,3.874669491
Vanuatu,12019,326744,3.678414906
Philippines,4173631,115559008,3.611688152
Morocco,1276950,37457976,3.409020284
Nepal,1003444,30547586,3.284855307
Vatican,26,808,3.217821782
El Salvador,201808,6336393,3.184903462
India,44999328,1417173120,3.175287999
Sri Lanka,672590,21832150,3.080731856
Solomon Islands,21611,724272,2.983823757
Laos,218876,7529477,2.906921689
Sao Tome and Principe,6597,227393,2.901144714
Indonesia,6813429,275501344,2.47310191
Saudi Arabia,841469,36408824,2.311167754
Gabon,48992,2388997,2.050735099
Venezuela,552695,28301700,1.952868556
Timor,23460,1341298,1.749052038
Zambia,349287,20017670,1.744893387
Zimbabwe,265771,16320539,1.628444992
Lesotho,35836,2305826,1.554150226
Djibouti,15690,1120851,1.399829237
Mauritania,63772,4736146,1.346495653
Kyrgyzstan,88889,6630621,1.340583333
Bangladesh,2045789,171186368,1.195065369
Myanmar,641307,54179312,1.183675053
Comoros,9109,836783,1.08857374
Equatorial Guinea,17130,1674916,1.022737857
Rwanda,133194,13776702,0.966806134
Cambodia,138941,16767851,0.828615426
Mozambique,233654,32969520,0.708697003
Pakistan,1580631,235824864,0.670256297
Kenya,343955,54027484,0.636629683
Algeria,271928,44903228,0.605586752
Afghanistan,226220,41128772,0.550028579
Senegal,89022,17316452,0.514089145
Ghana,171653,33475870,0.51276636
Uzbekistan,174123,34627648,0.502843855
Gambia,12626,2705995,0.466593619
Egypt,516023,110990096,0.464927069
Papua New Guinea,46864,10142625,0.462050012
Guinea-Bissau,9614,2105580,0.456596282
Cameroon,125090,27914542,0.448117687
Togo,39522,8848700,0.44664188
Malawi,88986,20405318,0.436092199
Congo,25196,5970430,0.422013155
Burundi,54366,12889583,0.421782458
Ethiopia,501060,123379928,0.406111438
Uganda,171871,47249588,0.36375132
Cote d'Ivoire,88338,28160548,0.31369418
Angola,105972,35588996,0.297766197
Haiti,34344,11585003,0.296452232
Guinea,38563,13859349,0.278245392
Eritrea,10189,3684041,0.276571298
Central African Republic,15367,5579148,0.275436321
Syria,57423,22125242,0.259536144
Nicaragua,16047,6948395,0.23094542
Madagascar,68347,29611718,0.230810654
Benin,28036,13352864,0.209962447
Tajikistan,17786,9952789,0.178703678
South Sudan,18368,10913172,0.168310368
Somalia,27334,17597508,0.155328811
Liberia,8090,5302690,0.152564076
Mali,33157,22593598,0.146753961
Sudan,63993,46874200,0.13652073
Nigeria,267146,218541216,0.122240557
Democratic Republic of Congo,99181,99010216,0.100172491
Burkina Faso,22056,22673764,0.097275424
Sierra Leone,7766,8605723,0.090242272
Tanzania,43078,65497752,0.065770196
Chad,7698,17723312,0.04343432
Niger,9515,26207982,0.036305733
Yemen,11945,33696612,0.035448668
England,NULL,56550000,NULL
Hong Kong,NULL,7488863,NULL
Macao,NULL,695180,NULL
North Korea,NULL,26069416,NULL
Northern Cyprus,NULL,382836,NULL
Northern Ireland,NULL,1896000,NULL
Scotland,NULL,5466000,NULL
Taiwan,NULL,23893396,NULL
Turkmenistan,NULL,6430777,NULL
Wales,NULL,3170000,NULL
Western Sahara,NULL,576005,NULL
